generos exclusivos de domestic-urban:
  - d__bacteria;p__rug730;c__rug730;o__rug730;f__jaaepj01;g__jaaepj01
  - d__bacteria;p__bacillota_i;c__bacilli_a;o__rf39;f__uba660;g__umgs1613
  - d__bacteria;p__pseudomonadota;c__alphaproteobacteria;o__caedimonadales;f__nucleicultricaceae;g__nucleicultrix
  - d__bacteria;p__gemmatimonadota;c__gemmatimonadetes;o__gemmatimonadales;f__gemmatimonadaceae;g__gemmatimonas
  - d__bacteria;p__bacteroidota;c__bacteroidia;o__bacteroidales;f__bacteroidaceae;g__bacteroides_g
  - d__bacteria;p__bacillota_i;c__bacilli_a;o__rf39;f__uba660;g__jaqvda01
  - d__bacteria;p__pseudomonadota;c__gammaproteobacteria;o__burkholderiales;f__rhodocyclaceae;g__zoogloea
  - d__bacteria;p__pseudomonadota;c__alphaproteobacteria;o__janqmy01;f__janqmy01;g__janqmy01
  - d__bacteria;p__actinomycetota;c__actinomycetes;o__actinomycetales;f__cellulomonadaceae;g__cellulomonas
  - d__bacteria;p__pseudomonadota;c__gammaproteobacteria;o__cardiobacteriales;f__wohlfahrtiimonadaceae;g__calzbj01
  - d__bacteria;p__bacteroidota;c__bacteroidia;o__bacteroidales;f__prolixibacteraceae;g__jaafhb01
  - d__bacteria;p__cld3;c__cld3;o__sb21;f__sb21;g__sb21
  - d__bacteria;p__acidobacteriota;c__terriglobia;o__bryobacterales;f__bryobacteraceae;g__pnke01
  - d__archaea;p__halobacteriota;c__methanomicrobia;o__methanomicrobiales;f__methanospirillaceae;g__methanoregula
  - d__bacteria;p__pseudomonadota;c__gammaproteobacteria;o__burkholderiales;f__nitrosomonadaceae;g__nitrosomonas
  - d__bacteria;p__patescibacteria;c__jaedam01;o__absconditabacterales;f__absconditicoccaceae;g__absconditicoccus
  - d__bacteria;p__pseudomonadota;c__gammaproteobacteria;o__enterobacterales;f__enterobacteriaceae;g__jgm124
  - d__bacteria;p__chloroflexota;c__anaerolineae;o__anaerolineales;f__anaerolineaceae;g__uba4782
  - d__bacteria;p__patescibacteria;c__paceibacteria;o__uba9973;f__uba9973;g__uba8515
  - d__bacteria;p__bacillota_a;c__clostridia;o__oscillospirales;f__acutalibacteraceae;g__umgs1071
  - d__bacteria;p__bacillota_i;c__bacilli_a;o__rf39;f__uba660;g__calvvx01
  - d__bacteria;p__bacteroidota;c__bacteroidia;o__j057;f__jadkcl01;g__jadkcl01
  - d__bacteria;p__pseudomonadota;c__alphaproteobacteria;o__rug11792;f__rug11792;g__jairni01
  - d__bacteria;p__campylobacterota;c__campylobacteria;o__campylobacterales;f__arcobacteraceae;g__aliarcobacter
  - d__archaea;p__methanobacteriota;c__methanobacteria;o__methanobacteriales;f__methanobacteriaceae;g__methanobrevibacter_d
  - d__bacteria;p__bacteroidota;c__bacteroidia;o__bacteroidales;f__prolixibacteraceae;g__uba6024
  - d__bacteria;p__planctomycetota;c__szua-567;o__szua-567;f__szua-567;g__jaitqc01
  - d__bacteria;p__desulfobacterota;c__desulfuromonadia;o__geobacterales;f__geobacteraceae;g__jampxd01
  - d__bacteria;p__bacillota_i;c__bacilli_a;o__jajdgj01;f__jajdgj01;g__jajdgj01
  - d__bacteria;p__spirochaetota;c__uba4802;o__uba4802;f__uba5550;g__wrgt01
  - d__bacteria;p__acidobacteriota;c__terriglobia;o__bryobacterales;f__bryobacteraceae;g__jacadu01
  - d__bacteria;p__pseudomonadota;c__gammaproteobacteria;o__pseudomonadales;f__nitrincolaceae;g__amphritea
  - d__bacteria;p__verrucomicrobiota;c__verrucomicrobiae;o__limisphaerales;f__pedosphaeraceae;g__pedosphaera
  - d__bacteria;p__bacteroidota;c__bacteroidia;o__bacteroidales;f__tta-h9;g__gwe2-42-24
  - d__bacteria;p__patescibacteria;c__jaedam01;o__bd1-5;f__uba2023;g__stc-113
