	shannon_entropy
ERR3561496	5.610206669352041
ERR3561497	5.517388593452662
ERR3561498	4.812329662496941
ERR3561499	5.334620579639092
ERR3561500	5.608245032915237
ERR3561501	5.3094006340791005
ERR3561502	5.220586747153885
ERR3561503	5.608392523875058
ERR3561504	5.686452630674127
ERR3561505	5.631376189412847
ERR3561506	5.101524589874605
ERR3561507	5.337997119206519
ERR3561508	5.391762825878511
ERR3561509	5.702467773283642
ERR3561510	5.795176805652117
ERR3561511	5.301532184113005
ERR3561512	5.7777520670226
ERR3561513	5.722379800852862
ERR3561514	5.681001878551807
ERR3561515	5.595985049064134
ERR3561516	5.442168457804627
ERR3561517	5.688483661971168
ERR3561518	5.583552221558007
ERR3561519	5.433150395788522
ERR3561520	5.38174536038791
ERR3561521	5.5291297103641535
ERR3561522	4.704016093283502
ERR3561523	5.231668783297698
ERR3561524	4.1319587649665
ERR3561525	5.170874176136678
ERR3561526	4.854158783534625
ERR3561527	5.334555462587954
ERR3561528	5.604645545773829
ERR3561529	6.346490609973097
ERR3561530	5.276579301697286
ERR3561531	5.4028030998741
ERR3561532	5.607748754191442
ERR3561533	5.424613200643261
ERR3561534	5.558375823652164
ERR3561535	5.387628691027136
ERR3561536	5.843947121854084
ERR3561537	5.807730427223706
ERR3561538	5.491847213584597
ERR3561539	5.6672885743703745
ERR3561540	5.385364696158429
SRR12011790	4.930491193479674
SRR12011791	4.776582870835607
SRR12011792	4.964518755645887
SRR12011793	4.571519295736142
SRR12011794	4.887997624306556
SRR12011795	4.949413914432166
SRR12011796	4.506289908940495
SRR12011797	4.730736665679285
SRR12011798	4.35864800448037
SRR12011799	4.177512420194217
SRR12011800	4.281220102117351
SRR12011801	4.846616240393548
SRR12011802	5.304092617417337
SRR12011803	4.422094385998785
SRR12011804	5.441583881625597
SRR12011805	5.301622377282377
SRR12011806	4.774206043262038
SRR12011807	4.938628593881714
SRR12011808	5.197931989721727
SRR12011809	5.060138546198744
SRR12011810	5.138057917630518
SRR12011811	5.213109504568895
SRR12011812	4.977139870514052
SRR12011813	5.095218344480578
SRR12011814	4.9462244952719026
SRR12011815	5.2326554284865985
SRR12011816	3.900303206475549
SRR12011817	3.8125890058671668
SRR12011818	4.251388434385103
SRR12011819	4.935188338208828
SRR12011820	4.756964625643618
SRR12011821	4.163446644501001
SRR12011822	4.543059142395469
SRR12011823	4.957683519804744
SRR12011824	5.016092865418391
SRR12011825	4.279138437536166
SRR12011826	4.874631951842245
SRR12011827	4.495929002539858
SRR12011828	4.367920385570454
SRR12011829	4.297949364402452
SRR12011830	4.895998419636949
SRR12011831	4.679444152551697
SRR12011832	4.886011511118198
SRR12011833	4.69927986551583
SRR12011834	4.79346020491818
SRR12011835	4.565803748707876
SRR12011836	4.799764469897735
SRR12011837	4.415841396432113
SRR12011838	4.164395774124422
SRR12011839	4.782159893058646
SRR12011840	4.343904071872854
SRR12011841	4.956732355694927
SRR12011842	4.387413964550188
SRR12011843	4.809331473368196
SRR12011844	4.711503582148911
SRR12011845	4.945441940166875
SRR12011846	5.265345387972404
SRR12011847	4.230474339675029
SRR12011848	4.334571460424091
SRR12011849	4.7209442520267855
SRR12011850	4.371578888180606
SRR12011851	4.2478532443374295
SRR12011852	4.51305838786308
SRR12011853	4.731709530095975
SRR12011854	4.136395324199502
SRR12011855	4.711950197741474
SRR12011856	3.9223421243145467
SRR12011858	4.633117857297714
SRR12011859	4.5063797728142205
SRR12011860	4.070716722587382
SRR12011861	5.105277082009261
SRR12011862	4.248915726058755
SRR12011863	5.189496606514059
SRR12011864	5.6743609588003485
SRR12011865	5.05365175362686
SRR12011866	5.31659409701894
