
sample id	frequency
err3561496	2.201
err3561497	2.201
err3561498	2.201
err3561499	2.201
err3561500	2.201
err3561501	2.201
err3561502	2.201
err3561503	2.201
err3561504	2.201
err3561505	2.201
err3561506	2.201
err3561507	2.201
err3561508	2.201
err3561509	2.201
err3561510	2.201
err3561511	2.201
err3561512	2.201
err3561513	2.201
err3561514	2.201
err3561515	2.201
err3561516	2.201
err3561517	2.201
err3561518	2.201
err3561519	2.201
err3561520	2.201
err3561521	2.201
err3561522	2.201
err3561523	2.201
err3561524	2.201
err3561525	2.201
err3561526	2.201
err3561527	2.201
err3561528	2.201
err3561529	2.201
err3561530	2.201
err3561531	2.201
err3561532	2.201
err3561533	2.201
err3561534	2.201
err3561535	2.201
err3561536	2.201
err3561537	2.201
err3561538	2.201
err3561539	2.201
err3561540	2.201
srr12011790	2.201
srr12011791	2.201
srr12011792	2.201
srr12011793	2.201
srr12011794	2.201
srr12011795	2.201
srr12011796	2.201
srr12011797	2.201
srr12011798	2.201
srr12011799	2.201
srr12011800	2.201
srr12011801	2.201
srr12011802	2.201
srr12011803	2.201
srr12011804	2.201
srr12011805	2.201
srr12011806	2.201
srr12011807	2.201
srr12011808	2.201
srr12011809	2.201
srr12011810	2.201
srr12011811	2.201
srr12011812	2.201
srr12011813	2.201
srr12011814	2.201
srr12011815	2.201
srr12011816	2.201
srr12011817	2.201
srr12011818	2.201
srr12011819	2.201
srr12011820	2.201
srr12011821	2.201
srr12011822	2.201
srr12011823	2.201
srr12011824	2.201
srr12011825	2.201
srr12011826	2.201
srr12011827	2.201
srr12011828	2.201
srr12011829	2.201
srr12011830	2.201
srr12011831	2.201
srr12011832	2.201
srr12011833	2.201
srr12011834	2.201
srr12011835	2.201
srr12011836	2.201
srr12011837	2.201
srr12011838	2.201
srr12011839	2.201
srr12011840	2.201
srr12011841	2.201
srr12011842	2.201
srr12011843	2.201
srr12011844	2.201
srr12011845	2.201
srr12011846	2.201
srr12011847	2.201
srr12011848	2.201
srr12011849	2.201
srr12011850	2.201
srr12011851	2.201
srr12011852	2.201
srr12011853	2.201
srr12011854	2.201
srr12011855	2.201
srr12011856	2.201
srr12011858	2.201
srr12011859	2.201
srr12011860	2.201
srr12011861	2.201
srr12011862	2.201
srr12011863	2.201
srr12011864	2.201
srr12011865	2.201
srr12011866	2.201
srr12011867	2.201
srr12011868	2.201
srr12011869	2.201
srr12011870	2.201
srr12011871	2.201
srr12011872	2.201
srr12011873	2.201
srr12011874	2.201
srr12011875	2.201
srr12011876	2.201
srr12011877	2.201
srr12011878	2.201
srr12011879	2.201
srr12011880	2.201
srr12011881	2.201
srr12011882	2.201
srr12011883	2.201
srr12011884	2.201
srr12011885	2.201
srr12011886	2.201
srr12011887	2.201
srr12011888	2.201
srr12011889	2.201
srr12011890	2.201
srr12011891	2.201
srr12011892	2.201
srr12011893	2.201
srr12011894	2.201
srr12011895	2.201
srr12011896	2.201
srr12011897	2.201
srr12011898	2.201
srr12011899	2.201
srr12011900	2.201
srr12011901	2.201
srr12011902	2.201
srr12011903	2.201
srr12011904	2.201
srr12011905	2.201
srr12011907	2.201
srr12011908	2.201
srr12011909	2.201
srr12011910	2.201
srr12011911	2.201
srr12011912	2.201
srr12011913	2.201
srr12011914	2.201
srr12011915	2.201
srr12011916	2.201
srr12011917	2.201
srr12011918	2.201
srr12011919	2.201
srr12011920	2.201
srr12011921	2.201
srr12011922	2.201
srr12011923	2.201
srr12011924	2.201
srr12011925	2.201
srr12011926	2.201
srr12011927	2.201
srr12011928	2.201
srr12011929	2.201
srr12011930	2.201
srr12088656	2.201
srr12088657	2.201
srr14300472	2.201
srr14300473	2.201
srr14300474	2.201
srr14300475	2.201
srr14300476	2.201
srr14300477	2.201
srr14300478	2.201
srr14300479	2.201
srr14300480	2.201
srr14300481	2.201
srr14300482	2.201
srr14300483	2.201
srr14300484	2.201
srr14300485	2.201
srr14300486	2.201
srr14300487	2.201
srr14300488	2.201
srr14300489	2.201
srr14300490	2.201
srr14300491	2.201
srr14300492	2.201
srr14300493	2.201
srr14300494	2.201
srr14300495	2.201
srr14300497	2.201
srr14300508	2.201
srr14300509	2.201
