
sample id	frequency
srr2158275	561.468
srr16072447	108.045
srr16072450	104.711
srr16072471	97.281
srr16072461	94.633
srr16072472	94.558
srr16072449	94.234
srr16072455	93.786
srr16072459	91.111
srr16072448	90.776
srr16072456	88.717
srr16072473	87.080
srr16072451	86.473
srr16072454	81.083
srr16072470	80.337
srr16072453	79.908
srr16072465	79.143
srr16072457	78.310
srr16072445	73.464
srr16072458	73.346
srr3218710	72.929
srr16072452	70.190
srr16072466	70.147
srr3218648	69.133
srr16072469	68.730
srr16072467	66.831
srr16072468	65.836
srr3218711	64.589
srr7698539	64.326
srr16072464	63.964
srr16072460	61.805
srr3218686	60.923
srr3218777	59.660
srr3218761	58.681
srr16072446	57.473
srr3968790	57.189
srr16072462	54.429
srr3218700	54.046
srr3968793	52.110
err3561529	51.768
srr3968791	51.069
srr3968785	50.290
err3561537	48.129
srr3968789	47.845
srr3218792	47.699
srr3968783	47.339
srr16072463	46.869
srr3968784	46.742
err3561505	45.867
err3561500	45.339
err3561504	44.643
err3561536	44.529
srr3218672	43.557
srr3218709	41.427
err3561497	41.383
srr3968786	40.390
err3561515	40.280
srr3218660	40.158
srr3968787	39.710
err3561516	39.686
srr3218713	39.164
srr1951463	38.924
err3561496	38.820
err3561514	38.735
srr21103449	38.460
srr21103468	37.976
err3561528	37.878
err3561503	37.669
srr21103479	37.472
err3561507	37.314
err3561535	37.111
err3561532	36.330
err3561510	36.286
err3561509	35.771
err3561501	35.579
err3561502	35.402
srr14300692	35.037
err3561539	34.426
srr21103460	33.853
err3561533	33.735
srr21465148	33.466
srr1951459	33.110
err3561534	33.006
err3561519	32.767
err3561518	32.737
err3561538	32.009
err3561517	31.853
err3561513	31.706
err3561540	31.599
srr21465147	31.566
err3561527	31.556
err3561499	31.230
err3561508	30.712
srr1951462	29.846
srr21103499	29.786
srr21103490	29.669
srr21103488	29.650
srr21103478	29.455
err3561531	29.387
srr21103465	29.353
err3561512	29.215
srr3968788	28.957
srr21103448	28.849
srr21103474	28.818
err3561506	27.990
srr1951460	27.469
srr21103475	27.148
srr21103498	26.951
srr21103500	26.936
srr21103440	26.684
srr21103485	26.081
err3561498	25.763
srr21103452	25.736
srr21103455	25.672
err3561530	25.567
srr21103459	25.424
err3561525	25.235
srr21465146	25.186
srr21103495	25.108
srr21103441	24.817
srr21465144	24.338
err3561526	24.181
srr21103486	24.143
srr21103467	24.132
err3561511	23.959
err3561521	23.657
srr21103469	23.365
srr21103482	23.069
srr21103453	23.045
srr3968792	23.030
srr21103501	23.005
err3561523	22.551
srr21103497	22.518
