sample-id	study-id	author	sample-name	condition1	condition2	condition3	mix1	mix2	type	absolute-filepath	forward-absolute-filepath	reverse-absolute-filepath
SRR8450533	SRP179931	SAFARIC_2020	L1_160810	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450533_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450533_2.fastq.gz
SRR8450534	SRP179931	SAFARIC_2020	L5_160608	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450534_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450534_2.fastq.gz
SRR8450536	SRP179931	SAFARIC_2020	L1_160706	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450536_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450536_2.fastq.gz
SRR8450544	SRP179931	SAFARIC_2020	L5_160907	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450544_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450544_2.fastq.gz
SRR8450546	SRP179931	SAFARIC_2020	L3_160907	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450546_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450546_2.fastq.gz
SRR8450548	SRP179931	SAFARIC_2020	L3_160504	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450548_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450548_2.fastq.gz
SRR8450550	SRP179931	SAFARIC_2020	L2_160504	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450550_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450550_2.fastq.gz
SRR8450552	SRP179931	SAFARIC_2020	L1_160504	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450552_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450552_2.fastq.gz
SRR8450554	SRP179931	SAFARIC_2020	L5_160413	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450554_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450554_2.fastq.gz
SRR8450556	SRP179931	SAFARIC_2020	L3_160413	SYNTHETIC					PAIRED-END		/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450556_1.fastq.gz	/home/ubuntu/biogas/samples/SAFARIC_2020/SRR8450556_2.fastq.gz
