sample-id	study-id	author	sample-name	condition1	condition2	condition3	mix1	mix2	type	absolute-filepath	forward-absolute-filepath	reverse-absolute-filepath
SRR16701174	SRP344241	LI_2022	VINASSE_biogas_slurry_bacteria_4	VINASSE					PAIRED-END		/home/ubuntu/biogas/samples/LI_2022/SRR16701174_1.fastq.gz	/home/ubuntu/biogas/samples/LI_2022/SRR16701174_2.fastq.gz
SRR16701175	SRP344241	LI_2022	VINASSE_biogas_slurry_bacteria_3	VINASSE					PAIRED-END		/home/ubuntu/biogas/samples/LI_2022/SRR16701175_1.fastq.gz	/home/ubuntu/biogas/samples/LI_2022/SRR16701175_2.fastq.gz
SRR16701176	SRP344241	LI_2022	VINASSE_biogas_slurry_bacteria_2	VINASSE					PAIRED-END		/home/ubuntu/biogas/samples/LI_2022/SRR16701176_1.fastq.gz	/home/ubuntu/biogas/samples/LI_2022/SRR16701176_2.fastq.gz
SRR16701177	SRP344241	LI_2022	VINASSE_biogas_slurry_bacteria_1	VINASSE					PAIRED-END		/home/ubuntu/biogas/samples/LI_2022/SRR16701177_1.fastq.gz	/home/ubuntu/biogas/samples/LI_2022/SRR16701177_2.fastq.gz
SRR16701178	SRP344241	LI_2022	PIG_biogas_slurry_bacteria_6	MANURE	PIG_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/LI_2022/SRR16701178_1.fastq.gz	/home/ubuntu/biogas/samples/LI_2022/SRR16701178_2.fastq.gz
SRR16701179	SRP344241	LI_2022	PIG_biogas_slurry_bacteria_5	MANURE	PIG_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/LI_2022/SRR16701179_1.fastq.gz	/home/ubuntu/biogas/samples/LI_2022/SRR16701179_2.fastq.gz
SRR16701180	SRP344241	LI_2022	PIG_biogas_slurry_bacteria_4	MANURE	PIG_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/LI_2022/SRR16701180_1.fastq.gz	/home/ubuntu/biogas/samples/LI_2022/SRR16701180_2.fastq.gz
SRR16701181	SRP344241	LI_2022	PIG_biogas_slurry_bacteria_3	MANURE	PIG_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/LI_2022/SRR16701181_1.fastq.gz	/home/ubuntu/biogas/samples/LI_2022/SRR16701181_2.fastq.gz
SRR16701182	SRP344241	LI_2022	VINASSE_biogas_slurry_bacteria_6	VINASSE					PAIRED-END		/home/ubuntu/biogas/samples/LI_2022/SRR16701182_1.fastq.gz	/home/ubuntu/biogas/samples/LI_2022/SRR16701182_2.fastq.gz
SRR16701183	SRP344241	LI_2022	VINASSE_biogas_slurry_bacteria_5	VINASSE					PAIRED-END		/home/ubuntu/biogas/samples/LI_2022/SRR16701183_1.fastq.gz	/home/ubuntu/biogas/samples/LI_2022/SRR16701183_2.fastq.gz
SRR16701184	SRP344241	LI_2022	PIG_biogas_slurry_bacteria_2	MANURE	PIG_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/LI_2022/SRR16701184_1.fastq.gz	/home/ubuntu/biogas/samples/LI_2022/SRR16701184_2.fastq.gz
SRR16701185	SRP344241	LI_2022	PIG_biogas_slurry_bacteria_1	MANURE	PIG_MANURE				PAIRED-END		/home/ubuntu/biogas/samples/LI_2022/SRR16701185_1.fastq.gz	/home/ubuntu/biogas/samples/LI_2022/SRR16701185_2.fastq.gz
SRR16481033	SRP342102	PARISA_2022	2h_Biofilm	MANURE	MANURE				PAIRED-END		/home/ubuntu/biogas/samples/PARISA_2022/SRR16481033_1.fastq.gz	/home/ubuntu/biogas/samples/PARISA_2022/SRR16481033_2.fastq.gz
SRR16481034	SRP342102	PARISA_2022	2h_Liquid-highCH4	MANURE	MANURE				PAIRED-END		/home/ubuntu/biogas/samples/PARISA_2022/SRR16481034_1.fastq.gz	/home/ubuntu/biogas/samples/PARISA_2022/SRR16481034_2.fastq.gz
SRR16481035	SRP342102	PARISA_2022	2h_Liquid-lowCH4	MANURE	MANURE				PAIRED-END		/home/ubuntu/biogas/samples/PARISA_2022/SRR16481035_1.fastq.gz	/home/ubuntu/biogas/samples/PARISA_2022/SRR16481035_2.fastq.gz
