,abundance,relative abundance (%)
2-12-full-69-37,0.0,0.0
2011-gwc2-44-17,0.0,0.0
4572-112,0.0,0.0
46-80,0.0,0.0
58-81,0.0213152278159743,0.01410767138594941
67-14,0.0,0.0
79-d21,0.0213152278159743,0.01410767138594941
ag41,0.0301442842624232,0.019951260207512558
asp10-05a,0.0,0.0
auk324,0.0,0.0
awtp1-35,0.0,0.0
absconditicoccus,0.20690142352356422,0.1369395306283367
absicoccus,0.0,0.0
acetatifactor,0.0,0.0
acetivibrio,0.0,0.0
acetoanaerobium,0.0727747398943718,0.04816660297941138
acetobacter,0.0,0.0
acetobacterium,0.1806290439125241,0.11955092463831764
acetobacteroides,0.08160379634082071,0.054010191800974536
acetomicrobium,0.7346558393876129,0.4862384419875613
acholeplasma,0.0,0.0
acholeplasma_c,0.0,0.0
achromobacter,0.0,0.0
acidaminococcus,0.0,0.0
acidilutibacter,0.0,0.0
acidimangrovimonas,0.0,0.0
acinetobacter,0.06394568344792301,0.042323014157848296
actinomyces,0.0,0.0
advenella_a,0.0,0.0
aeoliella,0.0,0.0
aequorivita,0.0,0.0
aeriscardovia,0.0,0.0
aerococcus,0.0,0.0
aestuariivirga,0.0,0.0
afipia,0.0,0.0
agathobaculum,0.0,0.0
aggregatilinea,0.0,0.0
agriterribacter,0.0426304556319487,0.028215342771898886
akkermansia,0.0,0.0
albibacterium,0.0,0.0
albidovulum,0.0,0.0
alcaligenes,0.0,0.0
aldehydirespirator,0.0,0.0
aliarcobacter,0.2414438177923395,0.15980171870509638
aliidiomarina,0.0,0.0
alistipes,0.0,0.0
aliterella,0.0213152278159743,0.01410767138594941
alkalicella,0.0,0.0
alkaliflexus,0.0,0.0
alkalihalobacterium,0.0,0.0
alkaliphilus,0.18633041868828162,0.12332442978116435
alkaliphilus_b,0.0,0.0
alsobacter,0.0,0.0
altimarinus,0.08160379634082071,0.054010191800974536
amaricoccus,0.0,0.0
aminiphilus,0.0,0.0
aminipila,0.0852609112638973,0.05643068554379771
aminithiophilus,0.0,0.0
aminivibrio,0.49238039908708575,0.3258863065961427
aminobacterium,0.0,0.0
amphibacillus_b,0.0602885685248464,0.039902520415025115
amphritea,0.0951533429203203,0.06297807861984958
anaerobacterium,0.1329232096163105,0.08797639776700944
anaerobranca,0.036919057552173,0.02443520361695009
anaerocaecibacter,0.0,0.0
anaerococcus,0.0,0.0
anaerocolumna,0.06394568344792301,0.042323014157848296
anaeromyxobacter_a,0.0,0.0
anaerosphaera,0.0,0.0
anaerosporobacter,0.0301442842624232,0.019951260207512558
anaerotignum,0.437802340828373,0.2897633377287829
andreesenia,0.0,0.0
anoxybacillus_a,1.3209280774023655,0.8742678896680945
aphodoplasma,0.0,0.0
aphodosoma,0.0213152278159743,0.01410767138594941
aphodousia,0.0,0.0
apilactobacillus,0.0,0.0
aquamicrobium_a,0.0,0.0
aquincolibacterium,0.0301442842624232,0.019951260207512558
aquisediminimonas,0.0,0.0
arachnia,0.0,0.0
arctic95d-9,0.0,0.0
arenimonas,0.0426304556319486,0.02821534277189882
aristaeella,0.0,0.0
arthrobacter,0.0,0.0
arthrobacter_c,0.0,0.0
arthrobacter_d,0.0,0.0
asp313,0.0,0.0
atopostipes,0.0301442842624232,0.019951260207512558
atribacter,0.0,0.0
aureimonas_a,0.0,0.0
azohydromonas,0.0,0.0
azonexus,0.163819413700652,0.1084253227354989
azospirillum,0.0,0.0
b1sed10-75,0.0213152278159743,0.01410767138594941
bica1-8,0.0,0.0
bm520,0.1317609450844376,0.0872071427432879
bog-932,0.0426304556319486,0.02821534277189882
bp-133,0.0,0.0
brh-c8a,0.0,0.0
bacillus,0.2901080516307627,0.19201057076000896
bacillus_bu,0.1452112513586916,0.0961093464915088
bact-08,2.3676372042204674,1.567041550138064
bact-11,0.0,0.0
bact-19,0.0706946129865336,0.04678985265282749
bacteroides,0.0,0.0
bacteroides_e,0.0,0.0
bacteroides_g,0.0991218104308105,0.06560464381667357
bacteroides_h,0.0,0.0
bacteroides_i,0.0,0.0
baekduia,0.0,0.0
bariatricus,0.0,0.0
bifidobacterium,0.0,0.0
bilifractor,0.0,0.0
bin107,0.0,0.0
bin65,0.0,0.0
bin94,0.0,0.0
biomaibacter,0.1164685707362947,0.07708575000579906
bipolaricaulis,0.0,0.0
blautia,0.0,0.0
bosea,0.0,0.0
bovifimicola,0.0,0.0
brachybacterium,0.0,0.0
brachymonas,0.0,0.0
brevefilum,0.0,0.0
brevibacillus,0.4050850926650677,0.2681091386873559
brevundimonas,0.0,0.0
breznakiella,0.0,0.0
brooklawnia,0.11250000042516231,0.07445911676946405
brucepastera,0.0,0.0
bu05,0.0,0.0
bulleidia,0.0,0.0
bullifex,0.0,0.0
burkholderia,0.1912975937873656,0.12661199839733606
butyribacter,0.0,0.0
butyricicoccus,0.0,0.0
cabmkh01,0.0,0.0
cadcwi01,0.0,0.0
caddzs01,0.0,0.0
cadeen01,0.0,0.0
cag-1000,0.0213152278159743,0.01410767138594941
cag-115,0.0,0.0
cag-177,0.1791527493470993,0.11857382606927172
cag-1782,0.0522114319003159,0.03455659635443893
cag-238,0.0,0.0
cag-266,0.0,0.0
cag-269,0.0,0.0
cag-273,0.0,0.0
cag-313,0.0,0.0
cag-390,0.0,0.0
cag-411,0.0,0.0
cag-448,0.0,0.0
cag-465,0.0,0.0
cag-488,0.0,0.0
cag-492,0.0,0.0
cag-552,0.0,0.0
cag-762,0.0,0.0
cag-791,0.0,0.0
cag-873,0.0,0.0
caijmu01,0.0,0.0
caikod01,0.0670633418145962,0.044386463824462645
cailad01,0.0670633418145962,0.044386463824462645
caimtb01,0.0,0.0
caindr01,0.0778065826148362,0.05149697243072417
cainnr01,0.0,0.0
cainvv01,0.0426304556319487,0.028215342771898886
caiomd01,0.0,0.0
