,abundance,relative abundance (%)
2-12-full-69-37,0.0,0.0
2011-gwc2-44-17,0.0,0.0
4572-112,0.0,0.0
46-80,0.0,0.0
58-81,0.0,0.0
67-14,0.0,0.0
79-d21,0.0,0.0
ag41,0.0,0.0
asp10-05a,0.0,0.0
auk324,0.0,0.0
awtp1-35,0.0,0.0
absconditicoccus,0.0,0.0
absicoccus,0.0,0.0
acetatifactor,0.0,0.0
acetivibrio,0.0213152278159743,0.0020889045385342796
acetoanaerobium,0.0,0.0
acetobacter,0.0,0.0
acetobacterium,0.0301442842624232,0.002954157128897899
acetobacteroides,0.0,0.0
acetomicrobium,0.1104457172684632,0.010823743572229842
acholeplasma,0.0,0.0
acholeplasma_c,0.0213152278159743,0.0020889045385342796
achromobacter,0.0,0.0
acidaminococcus,0.1249861717946878,0.012248716446759428
acidilutibacter,0.0,0.0
acidimangrovimonas,0.0,0.0
acinetobacter,0.0845813559045861,0.008289021339573098
actinomyces,0.0,0.0
advenella_a,0.0,0.0
aeoliella,0.0,0.0
aequorivita,0.0,0.0
aeriscardovia,0.0,0.0
aerococcus,0.0582342853681473,0.005706993331436882
aestuariivirga,0.0,0.0
afipia,0.0,0.0
agathobaculum,0.0213152278159743,0.0020889045385342796
aggregatilinea,0.047662298352413,0.004670932546670486
agriterribacter,0.0426304556319487,0.004177809077068569
akkermansia,0.228854921962548,0.022427913474854094
albibacterium,0.0213152278159743,0.0020889045385342796
albidovulum,0.0,0.0
alcaligenes,0.0,0.0
aldehydirespirator,0.0,0.0
aliarcobacter,0.0,0.0
aliidiomarina,0.0,0.0
alistipes,0.1492065947118206,0.014622331769740003
aliterella,0.0,0.0
alkalicella,0.0,0.0
alkaliflexus,0.0,0.0
alkalihalobacterium,0.0,0.0
alkaliphilus,0.0,0.0
alkaliphilus_b,0.0,0.0
alsobacter,0.0,0.0
altimarinus,0.0,0.0
amaricoccus,0.0,0.0
aminiphilus,0.0,0.0
aminipila,0.0213152278159743,0.0020889045385342796
aminithiophilus,0.0,0.0
aminivibrio,0.1668647076047183,0.016352836950467232
aminobacterium,0.0,0.0
amphibacillus_b,0.0,0.0
amphritea,0.0,0.0
anaerobacterium,0.0999772804722729,0.009797830768307902
anaerobranca,0.0,0.0
anaerocaecibacter,0.0,0.0
anaerococcus,0.0,0.0
anaerocolumna,0.209495163236667,0.020530646027535803
anaeromyxobacter_a,0.0,0.0
anaerosphaera,0.036919057552173,0.003618088792902603
anaerosporobacter,0.1470533194325805,0.014411309558654491
anaerotignum,0.0426304556319487,0.004177809077068569
andreesenia,0.0213152278159743,0.0020889045385342796
anoxybacillus_a,0.0,0.0
aphodoplasma,0.0,0.0
aphodosoma,0.0,0.0
aphodousia,0.0213152278159743,0.0020889045385342796
apilactobacillus,0.0,0.0
aquamicrobium_a,0.0,0.0
aquincolibacterium,0.0,0.0
aquisediminimonas,0.0,0.0
arachnia,0.0,0.0
arctic95d-9,0.0,0.0
arenimonas,0.0,0.0
aristaeella,0.0213152278159743,0.0020889045385342796
arthrobacter,0.0,0.0
arthrobacter_c,0.0,0.0
arthrobacter_d,0.0,0.0
asp313,0.0,0.0
atopostipes,0.3735675440907352,0.03660983335657453
atribacter,0.0213152278159743,0.0020889045385342796
aureimonas_a,0.0,0.0
azohydromonas,0.0,0.0
azonexus,0.0,0.0
azospirillum,0.0,0.0
b1sed10-75,0.0,0.0
bica1-8,0.0,0.0
bm520,0.0,0.0
bog-932,0.0,0.0
bp-133,0.0,0.0
brh-c8a,0.0,0.0
bacillus,0.0,0.0
bacillus_bu,0.0,0.0
bact-08,0.1941909672417635,0.019030826051489685
bact-11,3.975068777383477,0.38955901770091905
bact-19,0.7055399313484151,0.06914331751154693
bacteroides,0.1329232096163106,0.013026550700807642
bacteroides_e,0.1192747737149121,0.011688996162593465
bacteroides_g,0.0,0.0
bacteroides_h,0.0213152278159743,0.0020889045385342796
bacteroides_i,0.0,0.0
baekduia,0.0,0.0
bariatricus,0.0213152278159743,0.0020889045385342796
bifidobacterium,0.8190871847161935,0.08027101339853608
bilifractor,0.0,0.0
bin107,0.0,0.0
bin65,0.0,0.0
bin94,0.0,0.0
biomaibacter,0.0213152278159743,0.0020889045385342796
bipolaricaulis,0.0,0.0
blautia,0.0213152278159743,0.0020889045385342796
bosea,0.0,0.0
bovifimicola,0.0213152278159743,0.0020889045385342796
brachybacterium,8.32663390467773,0.816014893406837
brachymonas,0.0,0.0
brevefilum,0.0,0.0
brevibacillus,0.0301442842624232,0.002954157128897899
brevundimonas,0.0,0.0
breznakiella,0.0,0.0
brooklawnia,0.0,0.0
brucepastera,0.0,0.0
bu05,0.0,0.0
bulleidia,0.0,0.0
bullifex,0.0,0.0
burkholderia,0.0,0.0
butyribacter,0.0,0.0
butyricicoccus,0.036919057552173,0.003618088792902603
cabmkh01,0.14453272809087958,0.014164290162993925
cadcwi01,0.0,0.0
caddzs01,0.0,0.0
cadeen01,0.0,0.0
cag-1000,0.0,0.0
cag-115,0.0426304556319487,0.004177809077068569
cag-177,1.0229332360085106,0.10024804321886452
cag-1782,0.0213152278159743,0.0020889045385342796
cag-238,0.0213152278159743,0.0020889045385342796
cag-266,0.0,0.0
cag-269,0.0,0.0
cag-273,0.073838115104346,0.007236177585805206
cag-313,0.3152500080254246,0.03089468140911712
cag-390,0.0213152278159743,0.0020889045385342796
cag-411,0.127822929184354,0.012526720296268064
cag-448,0.0213152278159743,0.0020889045385342796
cag-465,0.0,0.0
cag-488,0.0426304556319487,0.004177809077068569
cag-492,0.0,0.0
cag-552,0.1413892259730672,0.013856225154377443
cag-762,0.0,0.0
cag-791,8.526687520449777,0.8356202623733014
cag-873,0.1661851522454069,0.016286240135903185
caijmu01,0.0,0.0
caikod01,0.0,0.0
cailad01,0.0,0.0
caimtb01,0.0,0.0
