,abundance,relative abundance (%)
2-12-full-69-37,0.0,0.0
2011-gwc2-44-17,0.0727747398943719,0.004653287115189376
4572-112,0.0,0.0
46-80,0.0,0.0
58-81,0.0825535223518858,0.005278551904563201
67-14,0.0,0.0
79-d21,0.0602885685248464,0.0038549092654548305
ag41,0.0,0.0
asp10-05a,0.0,0.0
auk324,0.0,0.0
awtp1-35,0.0522114319003159,0.0033384493531678928
absconditicoccus,0.0,0.0
absicoccus,0.0825535223518858,0.005278551904563201
acetatifactor,0.0,0.0
acetivibrio,0.1205771370496928,0.007709818530909661
acetoanaerobium,0.0,0.0
acetobacter,0.0,0.0
acetobacterium,1.5894799367600831,0.10163288141342734
acetobacteroides,0.0,0.0
acetomicrobium,3.9165053558394067,0.25042513288745
acholeplasma,0.0,0.0
acholeplasma_c,0.0,0.0
achromobacter,0.5943017477467866,0.038000227404983385
acidaminococcus,0.0301442842624232,0.0019274546327274153
acidilutibacter,0.0,0.0
acidimangrovimonas,0.0,0.0
acinetobacter,5.36406446219445,0.3429834594146726
actinomyces,0.0,0.0
advenella_a,0.0,0.0
aeoliella,0.0,0.0
aequorivita,0.1127895838795092,0.007211874864216184
aeriscardovia,0.0,0.0
aerococcus,0.2131522781597437,0.013629162412309815
aestuariivirga,0.0,0.0
afipia,0.6169228584317632,0.039446643057371236
agathobaculum,0.0,0.0
aggregatilinea,0.0,0.0
agriterribacter,0.0797542796084099,0.005099565621556078
akkermansia,0.0,0.0
albibacterium,0.0,0.0
albidovulum,0.0,0.0
alcaligenes,0.0,0.0
aldehydirespirator,0.0,0.0
aliarcobacter,0.0,0.0
aliidiomarina,0.0213152278159743,0.0013629162412309773
alistipes,0.0674046687438554,0.004309919582325392
aliterella,0.0,0.0
alkalicella,0.0,0.0
alkaliflexus,0.087884935719366,0.0056194476214651385
alkalihalobacterium,0.0,0.0
alkaliphilus,0.0,0.0
alkaliphilus_b,0.2711719029133572,0.017338993222917654
alsobacter,0.0,0.0
altimarinus,0.0,0.0
amaricoccus,0.0,0.0
aminiphilus,0.0,0.0
aminipila,0.1950979060125572,0.012474748430105613
aminithiophilus,0.0,0.0
aminivibrio,8.670049697620566,0.5543713464939416
aminobacterium,0.0,0.0
amphibacillus_b,0.0,0.0
amphritea,0.0,0.0
anaerobacterium,0.6877842764939467,0.04397759052776277
anaerobranca,0.0,0.0
anaerocaecibacter,0.0,0.0
anaerococcus,0.0522114319003159,0.0033384493531678928
anaerocolumna,0.11250000042516231,0.007193358618622724
anaeromyxobacter_a,0.0,0.0
anaerosphaera,0.0,0.0
anaerosporobacter,2.220113689835268,0.14195621230883904
anaerotignum,0.1127895838795092,0.007211874864216184
andreesenia,0.0,0.0
anoxybacillus_a,0.0,0.0
aphodoplasma,0.0,0.0
aphodosoma,0.5944754950192224,0.03801133697329374
aphodousia,0.0,0.0
apilactobacillus,0.0,0.0
aquamicrobium_a,0.0,0.0
aquincolibacterium,0.0,0.0
aquisediminimonas,0.087884935719366,0.0056194476214651385
arachnia,0.0,0.0
arctic95d-9,0.0,0.0
arenimonas,0.0,0.0
aristaeella,0.087884935719366,0.0056194476214651385
arthrobacter,0.0522114319003159,0.0033384493531678928
arthrobacter_c,0.0,0.0
arthrobacter_d,0.0,0.0
asp313,0.0,0.0
atopostipes,2.7327986099822246,0.17473778097585704
atribacter,0.3268816648498557,0.020901129175387393
aureimonas_a,0.0,0.0
azohydromonas,0.0,0.0
azonexus,0.0904328527872696,0.005782363898182246
azospirillum,0.0,0.0
b1sed10-75,0.0,0.0
bica1-8,0.0,0.0
bm520,0.6293670966352197,0.04024233965999104
bog-932,0.0,0.0
bp-133,0.0,0.0
brh-c8a,0.0,0.0
bacillus,0.0,0.0
bacillus_bu,0.0,0.0
bact-08,0.1212925082882472,0.007755560058420083
bact-11,30.66545428587963,1.9607787470903482
bact-19,2.979108715657573,0.19048708688534707
bacteroides,0.0213152278159743,0.0013629162412309773
bacteroides_e,0.261753339895214,0.016736761212201606
bacteroides_g,0.0,0.0
bacteroides_h,0.0,0.0
bacteroides_i,0.036919057552173,0.0023606401762728602
baekduia,0.0,0.0
bariatricus,0.0,0.0
bifidobacterium,1.2932609795114856,0.08269235535946433
bilifractor,0.0,0.0
bin107,0.0,0.0
bin65,0.0,0.0
bin94,0.0,0.0
biomaibacter,0.0,0.0
bipolaricaulis,0.0,0.0
blautia,0.0,0.0
bosea,0.0,0.0
bovifimicola,0.0,0.0
brachybacterium,0.0768531468386919,0.004914064391920952
brachymonas,0.0,0.0
brevefilum,0.1876103194952109,0.011995984920739533
brevibacillus,0.0,0.0
brevundimonas,0.0,0.0
breznakiella,0.0,0.0
brooklawnia,0.0,0.0
brucepastera,0.087884935719366,0.0056194476214651385
bu05,0.0,0.0
bulleidia,0.0213152278159743,0.0013629162412309773
bullifex,0.2914969038907592,0.018638593404266712
burkholderia,0.0768531468386919,0.004914064391920952
butyribacter,0.036919057552173,0.0023606401762728602
butyricicoccus,0.0,0.0
cabmkh01,0.5128041617478072,0.032789193090075205
cadcwi01,0.0563947919397546,0.003605937432108092
caddzs01,1.2778668574440333,0.08170804033518395
cadeen01,0.0,0.0
cag-1000,0.0,0.0
cag-115,0.6187891282924601,0.039565974153694665
cag-177,2.2400391040977707,0.14323026252993346
cag-1782,0.4196134435207758,0.02683048861362506
cag-238,0.0,0.0
cag-266,0.0,0.0
cag-269,0.0,0.0
cag-273,0.047662298352413,0.003047573363030972
cag-313,1.5807420839277027,0.10107417466904939
cag-390,0.0768531468386919,0.004914064391920952
cag-411,0.0,0.0
cag-448,0.0,0.0
cag-465,0.0301442842624232,0.0019274546327274153
cag-488,0.0,0.0
cag-492,1.0208384517876847,0.06527339597899229
cag-552,0.0,0.0
cag-762,0.0,0.0
cag-791,6.003566509600579,0.38387383760979
cag-873,0.0563947919397546,0.003605937432108092
caijmu01,0.0,0.0
caikod01,0.0,0.0
cailad01,0.0,0.0
caimtb01,0.0,0.0
caindr01,0.0,0.0
cainnr01,0.0522114319003159,0.0033384493531678928
cainvv01,0.0,0.0
caiomd01,0.0,0.0
caiqiq01,0.0,0.0
cairdp01,0.0602885685248464,0.0038549092654548305
caistg01,0.0,0.0
caitkp01,0.0,0.0
caivat01,0.0426304556319487,0.0027258324824619607
caiwhr01,0.0,0.0
caiwko01,0.0,0.0
caiwxq01,0.0845813559045861,0.005408213539303839
caixse01,0.0976786449219308,0.006245666841325667
cajatl01,0.0,0.0
cajbez01,0.0,0.0
cajblf01,0.0,0.0
cajbvg01,0.0582342853681473,0.0037235564175038378
cajlir01,0.0,0.0
cajoig01,0.0,0.0
cajojo01,0.0,0.0
cajolv01,0.0,0.0
cakkpp01,0.0,0.0
cakpsh01,0.0,0.0
cakxik01,0.0,0.0
calarr01,0.0,0.0
calbkh01,0.0,0.0
calboc01,0.036919057552173,0.0023606401762728602
calcjh01,0.0825535223518858,0.005278551904563201
calcth01,0.0,0.0
caldpk01,0.0426304556319487,0.0027258324824619607
caldzk01,0.0,0.0
calekx01,0.0,0.0
calfyt01,0.0,0.0
calgfd01,0.0,0.0
calgkj01,0.0887198965598297,0.005672835823556369
calhvr01,0.0,0.0
caljes01,0.0,0.0
calkxv01,0.0,0.0
callxs01,0.0,0.0
caluth01,0.0,0.0
calvld01,10.971721777488796,0.7015424809863132
calvvn01,0.0,0.0
calvvx01,0.0,0.0
calzbj01,0.0,0.0
calzjg01,0.0,0.0
camdpa01,0.0,0.0
camuxe01,0.0,0.0
canrin01,2.63239723939944,0.16831802042764576
casear01,0.0639456834479231,0.004088748723692945
caseyk01,0.3846698176729272,0.024596159447326422
casgdd01,0.0,0.0
cf-154,0.0,0.0
chh4-2,0.4987984221315894,0.031893652579872936
caccocola,0.0,0.0
caccovivens,0.0,0.0
caldalkalibacillus,5.370710724257437,0.34340842782633246
caldatribacterium,0.1835617840920944,0.01173711765918623
caldibacillus_b,0.0674046687438554,0.004309919582325392
caldicellulosiruptor,0.4473094271686307,0.02860139654181713
caldicoprobacter,0.138099281730389,0.008830201375170066
caldimonas,0.0,0.0
caldisalinibacter,0.0,0.0
caloramator,0.0,0.0
caloramator_b,0.0,0.0
caloranaerobacter,1.2812906725362216,0.08192696237704071
caproicibacterium,0.0,0.0
caproiciproducens,0.0,0.0
carboxydothermus,0.1429868950572392,0.00914272008909293
carboxylicivirga,0.0,0.0
carnobacterium_a,0.0,0.0
catenibacterium,0.0,0.0
cellulomonas,0.0,0.0
cellulosilyticum,0.0301442842624232,0.0019274546327274153
cellulosimicrobium,0.0,0.0
centipeda,1.491861618380087,0.09539107190942361
ch115,0.0,0.0
ch66,0.0,0.0
ch71,0.0,0.0
changpingibacter,0.0,0.0
chelatococcus_a,0.0,0.0
chiayiivirga,0.0522114319003159,0.0033384493531678928
chitinispirillum,1.4073792238261407,0.08998918605440283
christensenella,0.0,0.0
citrobacter,0.0,0.0
cloacibacillus,0.0301442842624232,0.0019274546327274153
cloacibacterium,0.0,0.0
