,abundance,relative abundance (%)
2-12-full-69-37,0.1185228538929937,0.03175020338400679
2011-gwc2-44-17,0.0,0.0
4572-112,0.1008647410000959,0.027019903215623822
46-80,0.0602885685248464,0.016150254988988727
58-81,0.0,0.0
67-14,0.0,0.0
79-d21,0.0,0.0
ag41,0.0,0.0
asp10-05a,0.2102470830585853,0.05632152305437236
auk324,0.0,0.0
awtp1-35,0.0,0.0
absconditicoccus,0.0,0.0
absicoccus,0.0,0.0
acetatifactor,0.2641446981443445,0.07075975319039952
acetivibrio,0.6833086324103248,0.18304645340941983
acetoanaerobium,0.0,0.0
acetobacter,0.047662298352413,0.012767897639425471
acetobacterium,0.0,0.0
acetobacteroides,0.0,0.0
acetomicrobium,0.4945470709498226,0.13248052649658565
acholeplasma,0.2339280494193143,0.06266524051971273
acholeplasma_c,0.0,0.0
achromobacter,0.0,0.0
acidaminococcus,0.036919057552173,0.009889970984715182
acidilutibacter,0.0602885685248464,0.016150254988988727
acidimangrovimonas,0.099873730252729,0.026754428737486104
acinetobacter,0.1301215647346961,0.03485729552801485
actinomyces,0.0,0.0
advenella_a,0.2214418780497889,0.05932041319360133
aeoliella,0.0,0.0
aequorivita,0.0,0.0
aeriscardovia,0.0,0.0
aerococcus,0.0,0.0
aestuariivirga,0.0,0.0
afipia,0.0,0.0
agathobaculum,0.047662298352413,0.012767897639425471
aggregatilinea,0.0213152278159743,0.005709977410302881
agriterribacter,0.0,0.0
akkermansia,0.0,0.0
albibacterium,0.0,0.0
albidovulum,0.0,0.0
alcaligenes,0.0,0.0
aldehydirespirator,0.0,0.0
aliarcobacter,0.0,0.0
aliidiomarina,0.0,0.0
alistipes,0.036919057552173,0.009889970984715182
aliterella,0.0,0.0
alkalicella,0.0,0.0
alkaliflexus,0.0,0.0
alkalihalobacterium,0.0,0.0
alkaliphilus,0.0,0.0
alkaliphilus_b,0.0,0.0
alsobacter,0.0,0.0
altimarinus,0.0,0.0
amaricoccus,0.0,0.0
aminiphilus,0.0,0.0
aminipila,0.0301442842624232,0.008075127494494364
aminithiophilus,0.0,0.0
aminivibrio,0.3713517476078224,0.09947865011923826
aminobacterium,0.0,0.0
amphibacillus_b,0.0,0.0
amphritea,0.0,0.0
anaerobacterium,0.7631547797979447,0.20443584233921316
anaerobranca,0.0,0.0
anaerocaecibacter,0.0582342853681473,0.015599948395018064
anaerococcus,0.0,0.0
anaerocolumna,0.0213152278159743,0.005709977410302881
anaeromyxobacter_a,0.0213152278159743,0.005709977410302881
anaerosphaera,0.0,0.0
anaerosporobacter,0.0213152278159743,0.005709977410302881
anaerotignum,0.1466128549987178,0.03927502428453049
andreesenia,0.0,0.0
anoxybacillus_a,0.0,0.0
aphodoplasma,0.0,0.0
aphodosoma,0.0,0.0
aphodousia,0.0,0.0
apilactobacillus,0.0213152278159743,0.005709977410302881
aquamicrobium_a,0.0,0.0
aquincolibacterium,0.0,0.0
aquisediminimonas,0.0,0.0
arachnia,0.0,0.0
arctic95d-9,0.0,0.0
arenimonas,0.0,0.0
aristaeella,0.0602885685248464,0.016150254988988727
arthrobacter,0.0,0.0
arthrobacter_c,0.0,0.0
arthrobacter_d,0.0,0.0
asp313,0.0522114319003159,0.013986531098060605
atopostipes,0.0,0.0
atribacter,0.2476488497833195,0.06634080339927204
aureimonas_a,0.0,0.0
azohydromonas,0.0,0.0
azonexus,0.0,0.0
azospirillum,0.0,0.0
b1sed10-75,0.0213152278159743,0.005709977410302881
bica1-8,0.0,0.0
bm520,0.0,0.0
bog-932,0.0,0.0
bp-133,0.0,0.0
brh-c8a,0.0,0.0
bacillus,0.0,0.0
bacillus_bu,0.0,0.0
bact-08,1.245545565823152,0.3336599123291159
bact-11,0.9819907962860307,0.2630581907136082
bact-19,0.7409909041662638,0.19849852699478998
bacteroides,0.3415675637091603,0.09149998722555745
bacteroides_e,0.0,0.0
bacteroides_g,0.0,0.0
bacteroides_h,0.0,0.0
bacteroides_i,0.0,0.0
baekduia,0.0,0.0
bariatricus,0.0,0.0
bifidobacterium,0.0522114319003159,0.013986531098060605
bilifractor,0.0301442842624232,0.008075127494494364
bin107,0.0,0.0
bin65,0.0,0.0
bin94,0.40969417793308827,0.10974991782059981
biomaibacter,0.036919057552173,0.009889970984715182
bipolaricaulis,0.0514595120783975,0.013785104904797245
blautia,0.0,0.0
bosea,0.0,0.0
bovifimicola,0.0,0.0
brachybacterium,0.0,0.0
brachymonas,0.0,0.0
brevefilum,0.0,0.0
brevibacillus,0.0,0.0
brevundimonas,0.0,0.0
breznakiella,0.0777100197557289,0.02081715762976097
brooklawnia,0.0,0.0
brucepastera,0.0,0.0
bu05,0.0,0.0
bulleidia,0.0213152278159743,0.005709977410302881
bullifex,0.0,0.0
burkholderia,0.0,0.0
butyribacter,0.0,0.0
butyricicoccus,0.0,0.0
cabmkh01,0.0,0.0
cadcwi01,0.0,0.0
caddzs01,0.0,0.0
cadeen01,0.036919057552173,0.009889970984715182
cag-1000,0.0,0.0
cag-115,0.0426304556319486,0.011419954820605762
cag-177,0.0426304556319486,0.011419954820605762
cag-1782,0.3568599380573028,0.09559654733890277
cag-238,0.0,0.0
cag-266,0.1224466615140947,0.032801322943801975
cag-269,0.21549381830799802,0.05772703183010003
cag-273,0.864110693676073,0.23148016917716427
cag-313,1.04568061980426,0.28011958253615876
cag-390,0.0514595120783975,0.013785104904797245
cag-411,0.0,0.0
cag-448,0.0,0.0
cag-465,0.12423425197276941,0.0332801872198974
cag-488,0.0,0.0
cag-492,0.036919057552173,0.009889970984715182
cag-552,0.0213152278159743,0.005709977410302881
cag-762,0.0852609112638973,0.022839909641211548
cag-791,0.0,0.0
cag-873,0.0,0.0
caijmu01,0.0,0.0
caikod01,0.0,0.0
cailad01,0.0,0.0
caimtb01,0.1270894049262882,0.034045032850838014
caindr01,0.0,0.0
cainnr01,0.0,0.0
cainvv01,0.0,0.0
caiomd01,0.0,0.0
caiqiq01,0.0,0.0
cairdp01,0.0,0.0
caistg01,0.1689914580246663,0.04526986134916361
caitkp01,0.0,0.0
caivat01,0.0213152278159743,0.005709977410302881
caiwhr01,0.0,0.0
caiwko01,0.0,0.0
caiwxq01,0.0,0.0
caixse01,0.0,0.0
cajatl01,0.0,0.0
cajbez01,0.0,0.0
cajblf01,0.0213152278159743,0.005709977410302881
cajbvg01,0.0,0.0
cajlir01,0.0301442842624232,0.008075127494494364
cajoig01,0.2551031784323808,0.06833768790656379
cajojo01,0.036919057552173,0.009889970984715182
cajolv01,0.12423425197276941,0.0332801872198974
cakkpp01,0.0,0.0
cakpsh01,0.0,0.0
cakxik01,0.036919057552173,0.009889970984715182
calarr01,0.0213152278159743,0.005709977410302881
calbkh01,0.0,0.0
calboc01,0.0,0.0
calcjh01,0.0,0.0
calcth01,0.0,0.0
caldpk01,0.0,0.0
caldzk01,0.0,0.0
calekx01,0.0,0.0
calfyt01,0.0426304556319486,0.011419954820605762
calgfd01,0.0213152278159743,0.005709977410302881
calgkj01,0.0,0.0
calhvr01,0.0,0.0
caljes01,0.0,0.0
calkxv01,0.0,0.0
callxs01,0.1300180145151522,0.03482955623198047
caluth01,0.0,0.0
calvld01,0.9230180903638809,0.247260432343531
calvvn01,0.1256389541120027,0.03365648239968502
calvvx01,0.0,0.0
calzbj01,0.0,0.0
calzjg01,0.0,0.0
camdpa01,0.0,0.0
camuxe01,0.0514595120783975,0.013785104904797245
canrin01,0.8953555478532623,0.23985012013805687
casear01,0.0,0.0
caseyk01,0.0426304556319486,0.011419954820605762
casgdd01,0.0,0.0
cf-154,0.0,0.0
chh4-2,0.0,0.0
caccocola,0.0674046687438554,0.018056534004666957
caccovivens,0.0,0.0
caldalkalibacillus,1.5218112360938318,0.4076666623440306
caldatribacterium,0.1980723670771153,0.05306012918932774
caldibacillus_b,0.0,0.0
caldicellulosiruptor,0.0,0.0
caldicoprobacter,3.919150007459398,1.0498718664132953
caldimonas,0.0,0.0
caldisalinibacter,0.0,0.0
caloramator,0.1242342519727693,0.03328018721989737
caloramator_b,0.0,0.0
caloranaerobacter,0.0,0.0
caproicibacterium,0.0,0.0
caproiciproducens,0.0,0.0
carboxydothermus,0.3981990173109298,0.10667056497262616
carboxylicivirga,0.1180292199817892,0.03161796747706402
carnobacterium_a,0.0,0.0
catenibacterium,0.0,0.0
cellulomonas,0.0,0.0
cellulosilyticum,0.0,0.0
cellulosimicrobium,0.0,0.0
centipeda,0.0,0.0
ch115,0.0,0.0
ch66,0.0514595120783975,0.013785104904797245
ch71,0.0,0.0
changpingibacter,0.0,0.0
chelatococcus_a,0.0,0.0
chiayiivirga,0.0,0.0
chitinispirillum,0.0,0.0
christensenella,0.0213152278159743,0.005709977410302881
citrobacter,0.0,0.0
cloacibacillus,0.0,0.0
cloacibacterium,0.0,0.0
cloacimonas,6.235161738824697,1.6702909762752862
clostridioides,0.0,0.0
clostridium,1.123096518618129,0.30085795030036366
clostridium_ab,0.0,0.0
clostridium_ad,0.0,0.0
clostridium_ak,0.0,0.0
clostridium_an,0.0213152278159743,0.005709977410302881
clostridium_at,0.0,0.0
clostridium_au,1.078747709866549,0.2889776786780456
clostridium_e,0.0,0.0
clostridium_g,0.0,0.0
clostridium_h,0.0,0.0
clostridium_j,0.0,0.0
clostridium_n,0.0,0.0
collinsella,0.0887198965598297,0.02376651141496984
comamonas,0.0,0.0
comamonas_c,0.0,0.0
companilactobacillus,0.0,0.0
conexibacter,0.0,0.0
contubernalis,0.0,0.0
coprenecus,0.0213152278159743,0.005709977410302881
coproplasma,0.0,0.0
coprosoma,0.0,0.0
coprothermobacter,0.0,0.0
corynebacterium,0.0,0.0
cryptobacteroides,1.069859830685965,0.28659677101030756
cupidesulfovibrio,0.0,0.0
curtobacterium,0.0,0.0
cutibacterium,0.0,0.0
cypionkella,0.0,0.0
daidjw01,0.0514595120783975,0.013785104904797245
daourc01,0.4455280911422204,0.1193491975802821
dmer64,1.7657246256851387,0.4730068011715877
drkv01,0.1096937974465449,0.029385053299815334
drpn01,0.0,0.0
dsm-111022,0.0,0.0
dtu008,0.2407028227090639,0.06448008400993349
dtu010,1.797444174264134,0.48150391447550145
dtu015,1.0573306954411805,0.2832404344120783
dtu018,1.0486803543463274,0.2809231590505638
dtu024,0.0,0.0
dtu029,2.4943803964228244,0.6682009612678232
dtu052,0.7846957436270228,0.21020629048652353
dtu053,0.0,0.0
dtu059,1.1269733772406012,0.30189649304306254
dtu063,0.8786112017028634,0.2353646021274346
dtu064,0.5882472255284805,0.15758116208937345
dtu073,0.5294104513395527,0.14181981745752797
dtu089,0.0883785696305705,0.023675075889512426
dtu098,0.6969050340701872,0.1866886920478939
dulv01,0.5840965656059334,0.15646927275841202
dump01,0.150581322509208,0.04033810744901996
duou01,0.1988989778244322,0.053281563777549945
duph01,0.12423425197276941,0.0332801872198974
dupi01,0.0,0.0
duqw01,0.036919057552173,0.009889970984715182
duss01,0.0301442842624232,0.008075127494494364
duua01,0.0,0.0
duus01,0.0,0.0
defluviitoga,0.0213152278159743,0.005709977410302881
dehalobacterium,0.1679280828146921,0.04498500169483337
deinococcus,0.0,0.0
delta-02,0.0,0.0
dermatophilus,0.0,0.0
desulfamplus,0.0,0.0
desulfobulbus,0.0,0.0
desulfofundulus,0.0,0.0
desulfogranum,0.0674046687438554,0.018056534004666957
desulfolucanica,0.0,0.0
desulfomicrobium,0.0,0.0
desulfopila,0.0,0.0
desulfoprunum,0.0,0.0
desulforapulum,0.0,0.0
desulfosporosinus,0.0795495131841216,0.021309925805320942
desulfovibrio,0.4470953871179524,0.11976904881030184
dethiobacter,0.6170626935504491,0.16530032291154573
dethiosulfovibrio,0.0,0.0
devosia,0.0,0.0
dietzia,0.0,0.0
dokdonella,0.0,0.0
domibacillus,0.0,0.0
draconibacterium,0.0,0.0
duganella,0.0,0.0
duodenibacillus,0.0,0.0
dysgonomonas,0.0,0.0
dysosmobacter,0.0,0.0
dysosmobacter_a,0.0,0.0
e44-bin32,0.0,0.0
egerieisoma,0.0,0.0
endomicrobium,0.0,0.0
endomicrobium_a,0.0,0.0
enterenecus,0.0213152278159743,0.005709977410302881
enterocloster,0.0,0.0
enterococcus,0.0,0.0
enterococcus_a,0.0,0.0
enterococcus_b,0.0,0.0
enterococcus_e,0.1611533095249423,0.043170158204612556
enterococcus_i,0.0,0.0
enterocola,0.3230585388718032,0.08654174260248851
enteromonas,0.0,0.0
enterousia,0.0,0.0
enterovirga,0.0,0.0
entomohabitans,0.1535588820729735,0.04113574367386906
eoetvoesia,0.0,0.0
erysipelothrix,0.0,0.0
estrella,0.0,0.0
eubacterium,0.0,0.0
eubacterium_b,0.0,0.0
eubacterium_g,0.0,0.0
eubacterium_o,0.0735266597162902,0.019696508508363485
eubacterium_t,0.0,0.0
evansella,0.0,0.0
evtepia,0.0,0.0
exiguobacterium,0.0,0.0
f0058,0.0,0.0
fb2012,0.0,0.0
fen-1160,0.0,0.0
fuhm01,0.0,0.0
facklamia,0.0213152278159743,0.005709977410302881
faecalibacterium,0.0,0.0
faecalimonas,0.0,0.0
faeciplasma,0.2119332662440287,0.056773222092338954
faecousia,1.5902828207073674,0.4260090044839501
falsochrobactrum,0.0,0.0
faunimonas,0.0,0.0
fen-1087,0.0,0.0
ferdinandcohnia,0.0,0.0
fermentibacter,0.0,0.0
ferruginibacter,0.0,0.0
fibrobacter,0.3254242774165579,0.08717548265752599
fimenecus,0.18246853734091661,0.04888013561491543
fimimonas,0.0,0.0
fimisoma,0.0,0.0
fimivivens,0.0213152278159743,0.005709977410302881
firm-04,0.11160798180033601,0.029897829870334146
firm-07,0.4247740890157164,0.113789562734301
firm-13,0.0301442842624232,0.008075127494494364
firm-16,0.35145999536558303,0.09414999696407908
flaviflexus,0.0,0.0
flavipsychrobacter,0.0,0.0
flavobacterium,0.0,0.0
flexilinea,0.3206669565759092,0.08590107945770144
fonticella,0.0,0.0
fontisphaera,0.0,0.0
formimonas,0.1962328736487226,0.05256736101376775
fredericiella,0.0,0.0
fructobacillus,0.0,0.0
fundicoccus,0.0,0.0
fundidesulfovibrio,0.0,0.0
fusobacterium,0.0,0.0
fusobacterium_b,0.0,0.0
gca-002840305,0.0,0.0
gca-002841655,0.0563947919397546,0.015107180219458085
gca-013693735,0.0,0.0
gca-016699895,0.0,0.0
gca-2699445,0.0,0.0
gca-2723275,0.0,0.0
gca-2729495,0.0,0.0
gca-2746885,0.886002572753243,0.23734462139315435
gwa2-32-17,0.0,0.0
gwc2-37-14,0.0213152278159743,0.005709977410302881
gwc2-73-18,0.0,0.0
gwe2-31-10,0.0,0.0
gwe2-42-24,0.0,0.0
gwf2-33-38,0.0,0.0
gwf2-43-63,0.0582342853681473,0.015599948395018064
ga0077530,0.3176585961800833,0.08509519222766478
ga0077548,0.0,0.0
gaiella,0.0,0.0
galactobacter,0.0,0.0
gallionella,0.0797542796084099,0.021364779155572187
galliscardovia,0.0,0.0
gaoshiqia,0.0,0.0
garciella,2.187113057477153,0.5858894054425182
gemmatimonas,0.0,0.0
gemmiger,0.8801440164848198,0.23577521644761512
gemmobacter_b,0.0,0.0
geobacillus,0.0,0.0
geofilum,4.647210757760696,1.2449066309224992
geosporobacter,0.0,0.0
gleimia,0.0301442842624232,0.008075127494494364
globicatella,0.0,0.0
glycomyces,0.0,0.0
gordonia,0.0,0.0
gottfriedia,0.0,0.0
gottschalkia_a,1.9098327970957656,0.5116108644496757
gracilibacter,0.5486969884010721,0.14698634403162886
granulicoccus,0.0,0.0
h1,0.0,0.0
hgm04593,0.0,0.0
hgm10857,0.0522114319003159,0.013986531098060605
hgm11604,0.0,0.0
hgm11616,0.2037837651568909,0.05459011302521831
hgm12789,1.5856058571785279,0.42475612760507997
hgm13010,0.0778065826148362,0.020843025133919835
hgm13233,0.1543785362351926,0.04135531471439176
hgm16780,0.5112665229508587,0.13695937579919612
hgw-1,0.0,0.0
hk-stas-pate-36,0.0,0.0
hun007,0.1205771370496928,0.032300509977977454
haliovirga,0.0,0.0
haloimpatiens,0.0,0.0
halopseudomonas,0.0,0.0
halorubrum,0.0,0.0
halothermothrix,0.0,0.0
haploplasma,0.0,0.0
hazenella,0.0,0.0
heliomicrobium,0.0,0.0
heliorestis,0.0,0.0
herbivorax,0.6333248650171259,0.1696566747422124
hoeflea,0.0,0.0
holophaga,0.0,0.0
holtiella,0.0,0.0
hominibacterium,0.0,0.0
hominimerdicola,0.0,0.0
hominiventricola,0.1718965503251825,0.046048084859322894
humidesulfovibrio,0.0,0.0
humimicrobium,0.0,0.0
hungateiclostridium,0.5732132260027856,0.15355381608024996
hydrogenispora,0.0,0.0
hydrogenophaga,0.036919057552173,0.009889970984715182
hymenobacter,0.0,0.0
hyphomicrobium_b,0.0,0.0
hyphomicrobium_c,0.0,0.0
ior16,0.0,0.0
iamia,0.0,0.0
ignatzschineria,0.0,0.0
ignavigranum,0.0,0.0
inordinaticella,0.0,0.0
insulibacter,0.0,0.0
intestinibacter,0.036919057552173,0.009889970984715182
iocasia,0.0426304556319486,0.011419954820605762
irregularibacter,0.2329370386719472,0.06239976604157496
isobaculum,0.0,0.0
jaaeka01,0.0,0.0
jaaepj01,0.0,0.0
jaaeth01,0.0,0.0
