,abundance,relative abundance (%)
2-12-full-69-37,0.0,0.0
2011-gwc2-44-17,0.0426304556319487,0.0037989428411136974
4572-112,0.0,0.0
46-80,0.0,0.0
58-81,0.0,0.0
67-14,0.1116079818003361,0.009945761479353754
79-d21,0.1736394808944681,0.015473596355005339
ag41,0.0,0.0
asp10-05a,0.0,0.0
auk324,0.12034047538767771,0.010723943262938558
awtp1-35,0.2227332544281109,0.019848507125818603
absconditicoccus,0.0,0.0
absicoccus,0.0,0.0
acetatifactor,0.0,0.0
acetivibrio,0.0,0.0
acetoanaerobium,0.0,0.0
acetobacter,0.0,0.0
acetobacterium,0.0514595120783975,0.004585729664848431
acetobacteroides,0.0,0.0
acetomicrobium,50.75253543010207,4.522728605228893
acholeplasma,0.0,0.0
acholeplasma_c,0.0,0.0
achromobacter,2.228393047091127,0.19857957621944852
acidaminococcus,0.4582079940828202,0.04083245072232945
acidilutibacter,0.0,0.0
acidimangrovimonas,0.0,0.0
acinetobacter,0.2243228747544469,0.019990163523089133
actinomyces,0.0953245967048261,0.008494694435366415
advenella_a,0.1164685707362947,0.010378904856972687
aeoliella,0.0213152278159743,0.0018994714205568444
aequorivita,0.0,0.0
aeriscardovia,0.4046304399748969,0.036057975230443344
aerococcus,0.0,0.0
aestuariivirga,0.6647718671585768,0.05924005005996743
afipia,0.7943513495132413,0.07078731221208834
agathobaculum,0.0,0.0
aggregatilinea,0.0,0.0
agriterribacter,0.0,0.0
akkermansia,0.0,0.0
albibacterium,0.0,0.0
albidovulum,0.1852747403195342,0.016510453335352254
alcaligenes,0.0953245967048261,0.008494694435366415
aldehydirespirator,0.2952799931541347,0.026313390262625365
aliarcobacter,0.0,0.0
aliidiomarina,0.0,0.0
alistipes,0.0213152278159743,0.0018994714205568444
aliterella,0.0,0.0
alkalicella,0.0213152278159743,0.0018994714205568444
alkaliflexus,0.0,0.0
alkalihalobacterium,4.61315553848945,0.41109375792724556
alkaliphilus,0.0,0.0
alkaliphilus_b,0.0,0.0
alsobacter,0.1234581337543508,0.011001768253489088
altimarinus,0.0,0.0
amaricoccus,0.1086062238400705,0.009678264762631804
aminiphilus,0.33255061936750707,0.02963470073276268
aminipila,0.0823557161627391,0.007338994005655384
aminithiophilus,17.176133566735455,1.530622853640366
aminivibrio,3.8191892350364562,0.34034075846064377
aminobacterium,0.2395710097875979,0.02134897596283026
amphibacillus_b,0.3000004832871854,0.026734048966166442
amphritea,0.0,0.0
anaerobacterium,0.6043863812303758,0.05385889693660764
anaerobranca,0.0,0.0
anaerocaecibacter,0.0,0.0
anaerococcus,0.0,0.0
anaerocolumna,0.0,0.0
anaeromyxobacter_a,0.0,0.0
anaerosphaera,0.0,0.0
anaerosporobacter,0.5242539783466926,0.04671802983200965
anaerotignum,0.0,0.0
andreesenia,0.0,0.0
anoxybacillus_a,4.545943371066031,0.40510425632601055
aphodoplasma,0.0,0.0
aphodosoma,0.0,0.0
aphodousia,0.0,0.0
apilactobacillus,0.0,0.0
aquamicrobium_a,0.0426304556319487,0.0037989428411136974
aquincolibacterium,0.0,0.0
aquisediminimonas,0.0213152278159743,0.0018994714205568444
arachnia,0.6606267680295483,0.05887066637807856
arctic95d-9,0.036919057552173,0.0032899810079294947
arenimonas,0.0,0.0
aristaeella,0.0,0.0
arthrobacter,0.0563947919397546,0.005025529001268006
arthrobacter_c,0.036919057552173,0.0032899810079294947
arthrobacter_d,0.13135035219177849,0.011705070301025775
asp313,0.0,0.0
atopostipes,0.0,0.0
atribacter,0.0904328527872696,0.00805877473287476
aureimonas_a,0.0990252475717033,0.008824471842381703
azohydromonas,0.0301442842624232,0.002686258244291587
azonexus,0.4981810399706914,0.04439458287086394
azospirillum,0.0639456834479231,0.005698414261670551
b1sed10-75,0.5396180588525665,0.04808717456158983
bica1-8,0.0891304894524889,0.007942716769293293
bm520,0.7729989029424487,0.0688845241034953
bog-932,0.0,0.0
bp-133,0.047662298352413,0.0042473472176832025
brh-c8a,0.0213152278159743,0.0018994714205568444
bacillus,2.412062240095822,0.2149469538501816
bacillus_bu,1.1347503750117367,0.10112141073085842
bact-08,0.0948418875322645,0.008451678602477485
bact-11,0.0,0.0
bact-19,0.0,0.0
bacteroides,0.102224241486442,0.009109544916338135
bacteroides_e,0.0,0.0
bacteroides_g,0.0,0.0
bacteroides_h,0.0,0.0
bacteroides_i,0.0,0.0
baekduia,1.9439543892194384,0.17323229369479665
bariatricus,0.0,0.0
bifidobacterium,0.0563947919397546,0.005025529001268006
bilifractor,0.0,0.0
bin107,0.6429191547047436,0.05729268158114709
bin65,2.814871294617456,0.2508426193157864
bin94,0.0,0.0
biomaibacter,3.908937718742317,0.3483385467699873
bipolaricaulis,0.0,0.0
blautia,0.0,0.0
bosea,0.0213152278159743,0.0018994714205568444
bovifimicola,0.0,0.0
brachybacterium,0.0,0.0
brachymonas,0.11250000042516231,0.010025252249946971
brevefilum,0.0639456834479231,0.005698414261670551
brevibacillus,0.8823959503590639,0.07863326180666136
brevundimonas,0.0426304556319486,0.0037989428411136887
breznakiella,0.0,0.0
brooklawnia,0.2745042218945642,0.024461991624605387
brucepastera,0.0,0.0
bu05,3.2179359631725855,0.2867610634049888
bulleidia,0.0,0.0
bullifex,0.0,0.0
burkholderia,0.0,0.0
butyribacter,0.0,0.0
butyricicoccus,0.0,0.0
cabmkh01,0.036919057552173,0.0032899810079294947
cadcwi01,0.036919057552173,0.0032899810079294947
caddzs01,0.0,0.0
cadeen01,0.0,0.0
cag-1000,0.0,0.0
cag-115,0.0,0.0
cag-177,0.0,0.0
cag-1782,0.0,0.0
cag-238,0.0,0.0
cag-266,0.0,0.0
cag-269,0.0,0.0
cag-273,0.0,0.0
cag-313,0.0,0.0
cag-390,0.0,0.0
cag-411,0.0,0.0
cag-448,0.0,0.0
cag-465,0.073838115104346,0.006579962015858989
cag-488,0.0602885685248464,0.005372516488583174
cag-492,0.0,0.0
cag-552,0.0,0.0
cag-762,0.0,0.0
cag-791,66.32318458973025,5.910281360169002
cag-873,0.0,0.0
caijmu01,0.0213152278159743,0.0018994714205568444
caikod01,0.0426304556319487,0.0037989428411136974
cailad01,0.0,0.0
caimtb01,0.0,0.0
caindr01,0.0,0.0
cainnr01,0.0,0.0
cainvv01,0.0,0.0
caiomd01,0.036919057552173,0.0032899810079294947
caiqiq01,0.0,0.0
cairdp01,0.0,0.0
caistg01,0.0,0.0
caitkp01,0.0904328527872696,0.00805877473287476
caivat01,0.0,0.0
caiwhr01,0.047662298352413,0.0042473472176832025
