sample id	frequency
srr2158275	20,149
srr23782922	17,352
srr6301241	16,8
srr3218648	16,51
srr23782924	16,365
srr3218672	16,21
srr21103478	15,479
srr21103441	15,419
srr21103468	15,116
srr12088657	14,95
srr21103499	14,707
srr21103500	14,676
srr23782923	14,647
srr21103445	14,612
srr21103467	14,48
srr21103440	14,4
srr21103501	14,299
srr21103456	14,244
srr21103489	14,208
srr21103498	14,026
srr21103460	13,645
srr21103479	13,633
srr21465148	13,508
srr21103497	13,455
srr21103465	13,452
srr21103495	13,418
srr3218660	13,409
srr21103488	13,355
srr3218700	13,187
srr21465144	13,153
srr21103490	13,141
srr21103486	13,111
srr12088656	12,819
srr21103474	12,801
srr21465147	12,78
srr21103472	12,778
srr3968783	12,756
srr1951459	12,727
srr3968791	12,714
srr21103475	12,707
srr21103461	12,597
srr21103469	12,593
srr3968786	12,582
srr21103492	12,57
srr21103442	12,475
srr21103496	12,467
srr6301244	12,384
srr21103482	12,316
srr21103471	12,293
srr21103448	12,17
srr21103481	12,169
srr21103484	12,164
srr3968787	12,122
srr21103485	12,114
srr21103458	12,098
srr21465146	12,087
srr21465149	12,075
srr21103449	12,072
srr21103487	12,072
srr3968790	11,977
srr1951462	11,976
srr21103466	11,904
srr21103455	11,839
srr1951460	11,834
srr21103477	11,763
srr21103470	11,69
srr21103473	11,678
srr21103444	11,669
srr21465145	11,648
srr21103483	11,618
srr21103452	11,615
srr21103447	11,575
srr21103462	11,545
srr1951463	11,533
srr21103476	11,465
srr21103453	11,433
srr21103463	11,24
srr3218686	11,232
srr3218709	11,19
srr21103493	11,114
srr21103446	11,031
srr3968782	10,991
srr21103494	10,975
srr7698539	10,968
srr21103457	10,902
srr21103480	10,887
srr21103454	10,86
srr21103459	10,825
srr21103464	10,794
srr21103450	10,743
srr6173234	10,576
srr6301246	10,524
srr21103491	10,356
srr21103443	10,095
srr3968788	10,039
srr3968789	9,95
err3561529	9,907
srr3968792	9,894
srr3968784	9,867
srr3968793	9,786
srr6173207	9,677
srr6173222	9,545
srr16072445	9,471
srr5808357	9,465
srr6173217	9,465
srr5808381	9,446
srr5808373	9,367
srr5808327	9,308
srr6173202	9,221
srr21103451	9,206
srr5808329	9,203
srr5808346	9,04
srr6173201	9,001
srr6173219	8,952
srr5808356	8,935
srr5808359	8,903
srr6173236	8,809
srr5808361	8,784
srr5808363	8,711
srr3968785	8,686
srr3218710	8,622
srr5808331	8,57
srr5808383	8,392
srr5808395	8,327
srr6173213	8,236
srr5808321	8,18
err3561512	8,17
srr5808334	8,151
srr5808326	8,144
err3561536	8,138
srr6173203	8,117
srr8450559	8,062
srr5808427	8,061
err3561510	8,032
srr6173230	7,969
err3561537	7,935
srr5808347	7,889
srr6173216	7,844
err3561504	7,831
err3561513	7,794
err3561509	7,774
srr6173233	7,688
err3561517	7,668
srr5808353	7,668
srr6173221	7,667
srr5808422	7,663
srr3218711	7,662
srr6173214	7,66
err3561539	7,65
srr8450565	7,631
err3561505	7,584
srr12011879	7,582
srr8450581	7,578
srr8450540	7,563
srr12011864	7,555
err3561514	7,519
srr8450556	7,51
err3561496	7,503
srr6173205	7,502
srr5808343	7,493
err3561500	7,488
err3561532	7,486
srr6173208	7,452
err3561518	7,4
srr8450577	7,386
err3561528	7,37
srr5808417	7,346
err3561503	7,341
srr6173231	7,335
err3561515	7,329
srr6173246	7,308
err3561497	7,299
srr5808342	7,294
err3561534	7,284
srr6173250	7,282
err3561538	7,228
srr5808330	7,218
srr6173198	7,213
srr6173238	7,21
srr5808424	7,21
srr5808377	7,208
srr8450557	7,202
srr8450575	7,198
err3561521	7,198
srr7268539	7,193
srr6173247	7,189
srr6173249	7,189
srr5808351	7,184
srr5808370	7,166
srr8450538	7,147
srr12011928	7,138
srr8450563	7,131
srr6173211	7,122
srr6173215	7,107
srr12011905	7,097
err3561531	7,083
srr8450573	7,071
srr3218713	7,065
srr12011804	7,047
err3561519	7,045
srr5808352	7,038
srr7268543	7,022
srr5808428	7,011
srr5808389	6,994
err3561516	6,991
srr6173196	6,981
err3561533	6,981
err3561540	6,977
srr8450579	6,975
srr6173245	6,951
srr5808350	6,934
err3561520	6,92
srr6173199	6,919
err3561507	6,917
srr6173212	6,916
srr5808379	6,912
err3561535	6,902
srr12011902	6,891
err3561508	6,872
srr3218777	6,858
srr5808335	6,845
srr6173244	6,842
srr8450561	6,829
srr6173239	6,826
srr5808420	6,792
srr8450591	6,782
srr12011846	6,777
srr5808358	6,772
err3561511	6,756
srr12011802	6,748
srr12011866	6,746
srr12011878	6,741
err3561527	6,728
srr6173226	6,716
srr12011908	6,707
srr6173248	6,7
srr12011893	6,681
srr7268535	6,675
srr8450583	6,667
srr12011815	6,664
srr12011805	6,661
srr5808318	6,655
err3561501	6,649
srr5808393	6,648
err3561499	6,646
srr5808386	6,646
srr6173218	6,63
srr6173220	6,616
err3561530	6,611
srr12011891	6,587
srr12011863	6,577
srr12011922	6,57
srr8450542	6,565
srr12011885	6,563
srr12011889	6,563
err3561502	6,555
srr5808387	6,554
srr6173209	6,527
srr6173204	6,515
srr8450534	6,514
srr5808399	6,51
srr5808410	6,508
srr5808328	6,497
srr12011888	6,477
srr6173241	6,468
srr12011925	6,449
srr12011877	6,442
srr6173206	6,442
srr8450548	6,436
srr5808426	6,435
err3561523	6,423
srr12011865	6,416
srr8450536	6,41
srr8450550	6,4
srr12011808	6,398
srr8450569	6,386
srr5808376	6,381
srr5808429	6,372
srr5808380	6,365
srr12011901	6,365
srr7268546	6,365
srr12011919	6,363
srr12011881	6,358
srr12011811	6,349
srr5808404	6,341
srr6173237	6,341
srr12011841	6,336
err3561525	6,328
srr5808385	6,323
srr8450552	6,302
srr5808400	6,299
srr12011861	6,294
err3561506	6,285
srr12011813	6,28
srr5808398	6,276
srr7268537	6,258
srr5808364	6,243
srr12011880	6,224
srr12011810	6,222
srr5808416	6,202
srr12011870	6,195
srr12011887	6,173
srr12011924	6,172
srr12011883	6,14
srr2046299	6,136
srr16072446	6,125
srr7268557	6,122
srr5808396	6,119
srr12011874	6,1
srr12011884	6,096
srr5808391	6,086
srr16072463	6,075
srr12011814	6,073
srr7268555	6,064
srr5808360	6,059
srr12011809	6,057
srr12011795	6,051
srr8450571	6,019
srr12011812	6,018
srr16072462	6,016
srr12011867	6,016
srr12011819	6
srr6173223	5,998
srr12011876	5,994
srr7268551	5,983
srr8450572	5,972
srr12011826	5,972
srr7268549	5,971
srr12011794	5,963
srr5808382	5,955
srr5808384	5,953
srr12011792	5,941
srr12011824	5,939
srr5808397	5,931
srr12011832	5,931
srr12011892	5,929
srr12011920	5,928
srr6173195	5,925
srr12011900	5,919
srr12011917	5,918
srr12011823	5,904
srr12011903	5,889
